Gene    Chromosome    Strand    Start    End
1    chr15_mat_hsa14    -    138152898    138152935
2    chr15_mat_hsa14    -    138169533    138169633
3    chr15_mat_hsa14    -    138170145    138170234
4    chr15_mat_hsa14    -    138170547    138170633
5    chr15_mat_hsa14    -    138170905    138170993
6    chr15_mat_hsa14    -    138171117    138171208
7    chr15_mat_hsa14    -    138171517    138171607
8    chr15_mat_hsa14    -    138171725    138171814
9    chr15_mat_hsa14    -    138171840    138171906
10    chr15_mat_hsa14    -    138182662    138182699
11    chr15_mat_hsa14    -    138184447    138184484
12    chr15_mat_hsa14    -    138187576    138187690
13    chr15_mat_hsa14    -    138188118    138188191
14    chr15_mat_hsa14    -    138190481    138190556
15    chr15_mat_hsa14    -    138191449    138191523
16    chr15_mat_hsa14    -    138192488    138192562
17    chr15_mat_hsa14    -    138195043    138195126
