Subject	Haplotype	Locus	Contig	StartPos	EndPos	Length	GeneTypes	NumV	NumProdV	FracProdV	RelStart	RelEnd	GoodToUse	Comment
UrsArc2	primary	IGH	NW_026622930.1	128304	665767	537463	"D,J,V"	26	23	0.884615385	0.002782871	0.014440263	TRUE	possibly haplotype 1
UrsArc2	primary	IGH	NW_026623059.1	65272	602517	537245	"D,J,V"	26	23	0.884615385	0.088399885	0.816007378	TRUE	possibly haplotype 2
mBalAcu1	primary	IGH	SUPER_3	183552918	183798190	245272	"D,J,V"	22	15	0.681818182	0.99858667	0.999921028	TRUE	
mCamDro1	primary	IGH	SUPER_5	94152115	94566808	414693	"D,J,V"	34	25	0.735294118	0.995547576	0.999932465	TRUE	manually selected
mCamDro1	alternate	IGH	SUPER_5	96134471	96430282	295811	"D,J,V"	24	19	0.791666667	0.996932385	1	TRUE	manually selected
mCanLor1	primary	IGH	SUPER_8	83919	2599448	2515529	"D,J,V"	156	79	0.506410256	0.001081626	0.033504088	TRUE	
mChiNiv1	primary	IGH	SUPER_10	6693330	13942261	7248931	"D,J,V"	351	217	0.618233618	0.079581719	0.16576937	TRUE	
mCorTow1	primary	IGH	JAPDVT010000001.1	0	1291373	1291373	"D,J,V"	257	151	0.587548638	0	0.00553141	TRUE	"likely duplication 1, manually selected"
mCorTow1	primary	IGH	JAPDVT010000015.1	2231020	2851057	620037	"D,J,V"	51	23	0.450980392	0.117351812	0.149965802	TRUE	"likely duplication 2, manually selected"
mCorTow1	alternate	IGH	JAPDVU010000001.1	235726307	237256654	1530347	"D,J,V"	312	168	0.538461539	0.99287374	0.999319526	TRUE	"likely duplication 1, manually selected"
mCorTow1	alternate	IGH	JAPDVU010000016.1	3906013	4780631	874618	"D,J,V"	74	28	0.378378378	0.186938615	0.228797123	TRUE	"likely duplication 2, manually selected"
mCynVol1	primary	IGH	SUPER_3	184871482	186966783	2095301	"D,J,V"	117	97	0.829059829	0.987852261	0.999048406	TRUE	
mDasNov1	primary	IGH	SUPER_19	51591798	64438852	12847054	"D,J,V"	174	83	0.477011494	0.641946176	0.801799437	TRUE	manually merged
mDasNov1	alternate	IGH	SUPER_19	53932143	66813148	12881005	"D,J,V"	176	84	0.477272727	0.632429519	0.783477249	TRUE	manually merged
mDicBic1	primary	IGH	SUPER_24	50405033	52041140	1636107	"D,J,V"	147	57	0.387755102	0.968545736	0.999983955	TRUE	
mDicBic1	alternate	IGH	scaffold_22	50389604	52430468	2040864	"D,J,V"	190	83	0.436842105	0.961074847	1	TRUE	
mDipMer1	alternate	IGH	JANKKK010000358.1	227764	987648	759884	"D,J,V"	95	69	0.72631579	0.216340774	0.938113719	TRUE	manually selected
mDipMer1	primary	IGH	JANKKJ010000406.1	0	728768	728768	"D,J,V"	85	56	0.658823529	0	0.745812043	TRUE	"manually selected, but likely broken"
mEleMax1	primary	IGH	SUPER_21	56308935	59228841	2919906	"D,J,V"	110	54	0.490909091	0.671242035	0.706049364	TRUE	
mEptNil1	alternate	IGH	atg001381l_1	62669	1590223	1527554	"D,J,V"	309	246	0.796116505	0.037024696	0.939499961	TRUE	manually selected: long
mEriEur2	primary	IGH	SUPER_14	47620121	49431463	1811342	"D,V"	20	13	0.65	0.469173188	0.487019281	TRUE	
mHetBru1	primary	IGH	SUPER_22	30533348	32284685	1751337	"D,J,V"	34	30	0.882352941	0.369699998	0.390905314	TRUE	
mHipAmp2	primary	IGH	JASFZM010000003.1	76050	1008536	932486	"D,J,V"	133	101	0.759398496	0.00041295	0.005476331	TRUE	
mHipAmp2	alternate	IGH	NC_080189.1	187839461	188313745	474284	"D,J,V"	58	43	0.74137931	0.997481416	1	TRUE	
mLemCat1	alternate	IGH	h2tg000012l	105451686	106245687	794001	"D,J,V"	97	80	0.824742268	0.990318335	0.997774961	TRUE	
mLemCat1	primary	IGH	SUPER_1	391639	1036711	645072	"D,J,V"	70	59	0.842857143	0.001366143	0.003616329	TRUE	
mLutLut1	primary	IGH	HiC_scaffold_5_arrow_ctg1	147012321	148912295	1899974	"D,J,V"	76	39	0.513157895	0.986628042	0.999379134	TRUE	manually selected: long
mLynCan4	primary	IGH	Super_Scaffold_2	145974264	147096805	1122541	"D,J,V"	48	29	0.604166667	0.991163261	0.998785299	TRUE	
mLynRuf1	primary	IGH	NW_025814831.1	230587	1454541	1223954	"D,J,V"	45	36	0.8	0.004484365	0.028287337	TRUE	
mMacEug1	primary	IGH	SUPER_1	319153269	322565801	3412532	"D,V"	45	26	0.577777778	0.418712212	0.423189273	TRUE	manually selected: main locus
mManPen7	primary	IGH	SUPER_11	76224	605769	529545	"D,J,V"	33	19	0.575757576	0.000610363	0.004850688	TRUE	
mManPen7	alternate	IGH	scaffold_10	76211	605791	529580	"D,J,V"	33	19	0.575757576	0.000616639	0.004901579	TRUE	
mMarMar1	primary	IGH	SUPER_7	144433355	146079941	1646586	"D,J,V"	76	56	0.736842105	0.987313943	0.998569635	TRUE	
mMelMel3	primary	IGH	CAKLPQ010000007.1	193190	2681051	2487861	"D,J,V"	97	45	0.463917526	0.001562474	0.021683693	TRUE	
mMelMel3	alternate	IGH	SUPER_6	151076266	153566245	2489979	"D,J,V"	96	49	0.510416667	0.982477221	0.99867002	TRUE	
mMicCal1	primary	IGH	JAQJZF010000012.1	66309945	70199327	3889382	"D,J,V"	161	101	0.627329193	0.884562179	0.936445802	TRUE	
mMicCal1	alternate	IGH	JAQJZG010000010.1	66271927	70875443	4603516	"D,J,V"	179	112	0.625698324	0.868238038	0.928549363	TRUE	
mMirAng1	primary	IGH	JARDRN010000009.1	143937537	144496052	558515	"D,J,V"	26	15	0.576923077	0.995687701	0.999551227	TRUE	
mMirAng1	alternate	IGH	JARDRO010000009.1	64539	642855	578316	"D,J,V"	26	15	0.576923077	0.000448277	0.004465164	TRUE	
mMonDom1	primary	IGH	SUPER_1	304231827	305232180	1000353	"D,J,V"	18	15	0.833333333	0.399878705	0.401193558	TRUE	
mMusAve1	primary	IGH	SUPER_12	107721805	108095304	373499	"D,J,V"	33	23	0.696969697	0.995501429	0.998953087	TRUE	
mMusLut2	primary	IGH	SUPER_7	152638849	153966520	1327671	"D,J,V"	54	46	0.851851852	0.99065546	0.9992723	TRUE	
mMusNiv1	primary	IGH	scaffold_8	149575389	150694750	1119361	"D,J,V"	46	35	0.760869565	0.9917414	0.999163187	TRUE	manually selected: main
mMusNiv1	alternate	IGH	scaffold_8	135374323	136882642	1508319	"D,J,V"	66	47	0.712121212	0.988061429	0.999070251	TRUE	
mMyoDau2	alternate	IGH	atg001036l_1	41497	845125	803628	V	117	87	0.743589744	0.049101612	1	TRUE	manually selected: duplication 1
mMyoDau2	primary	IGH	SUPER_1_unloc_1	0	825429	825429	V	125	96	0.768	0	0.949304723	TRUE	manually selected: duplication 1
mMyoDau2	primary	IGH	SUPER_20	16356291	17614094	1257803	V	112	63	0.5625	0.874845651	0.942121507	TRUE	manually selected: duplication 2
mMyoYum1.0	primary	IGH	JAPQVT010000001.1	1810895	3028148	1217253	"D,J,V"	170	131	0.770588235	0.007534596	0.012599224	TRUE	manually selected: duplication 1
mMyoYum1.0	primary	IGH	JAPQVT010000022.1	15580510	17207000	1626490	"D,J,V"	160	62	0.3875	0.896684649	0.990291894	TRUE	manually selected: duplication 2
mMyoYum1.0	alternate	IGH	JAPQVU010000020.1	49708	1257138	1207430	"D,J,V"	210	156	0.742857143	0.00131155	0.033169702	TRUE	manually selected: duplication 1
mMyoYum1.0	alternate	IGH	JAPQVU010000023.1	15468170	16945445	1477275	"D,J,V"	121	53	0.438016529	0.885534578	0.970106838	TRUE	manually selected: duplication 2
mNeoNeb1	primary	IGH	SUPER_7	148081542	150016181	1934639	"D,J,V"	87	48	0.551724138	0.985868388	0.99874845	TRUE	
mNycCou1	alternate	IGH	atg000923l_1	3389638	4284995	895357	"D,J,V"	37	22	0.594594595	0.787647714	0.995701169	TRUE	manually selected: likely main
mNycCou1	primary	IGH	SUPER_6	43991	971058	927067	"D,J,V"	40	22	0.55	0.000318014	0.007019836	TRUE	manually selected: likely main
mOrcOrc1	primary	IGH	SUPER_2	201569895	201910562	340667	"D,J,V"	35	28	0.8	0.99823193	0.99991901	TRUE	
mPerMan1	alternate	IGH	JAOPKX010000011.1	3838454	6737512	2899058	"D,J,V"	195	147	0.753846154	0.053399398	0.093730207	TRUE	
mPerMan1	primary	IGH	JAOPKW010000028.1	25810885	27026583	1215698	"D,J,V"	71	56	0.788732394	0.954769167	0.999738992	TRUE	manually selected: part 1
mPerMan1	primary	IGH	JAOPKW010000085.1	40599	2616066	2575467	V	179	147	0.82122905	0.006266404	0.403786483	TRUE	manually selected: part 2
mPhoSin1	alternate	IGH	000057F_031_arrow_arrow	15637	119700	104063	V	10	6	0.6	0.125449265	0.960304217	TRUE	
mPhoSin1	primary	IGH	scaffold_2_arrow_ctg1	178322169	178536207	214038	"D,J,V"	15	9	0.6	0.99864611	0.999844773	TRUE	
mPleAur1	primary	IGH	SUPER_1	0	3195581	3195581	"D,J,V"	715	640	0.895104895	0	0.012844293	TRUE	manually selected: duplication 1
mPleAur1	primary	IGH	SUPER_14	16848262	17570282	722020	"D,J,V"	70	33	0.471428571	0.89160632	0.929815459	TRUE	manually selected: duplication 2
mPumCon1	primary	IGH	CM060209.1	221560	1745651	1524091	"D,J,V"	61	58	0.950819672	0.001479473	0.011656632	TRUE	
mPumCon1	alternate	IGH	CM060229.1	221885	1418315	1196430	"D,J,V"	44	37	0.840909091	0.001484101	0.009486548	TRUE	
mSorAra2	alternate	IGH	hap_ptg001007l_1_1	1886098	4884294	2998196	"D,J,V"	263	167	0.634980989	0.386155706	1	TRUE	manually selected: main likely broken at the end
mSorAra2	primary	IGH	SUPER_X	153738808	155887202	2148394	"D,J,V"	188	114	0.606382979	0.410665745	0.416404516	TRUE	manually selected: main likely broken at the end
mThoBot1	alternate	IGH	JANJXW010000445.1	82598	716196	633598	"D,J,V"	63	50	0.793650794	0.07976129	0.691599272	TRUE	
mThoBot1	primary	IGH	JANJXV010000359.1	83311	734322	651011	"D,J,V"	68	54	0.794117647	0.083168117	0.733062599	TRUE	
mUrsAme1	primary	IGH	JANIGQ010000027.1	45386648	45854558	467910	"D,J,V"	27	26	0.962962963	0.987048699	0.997224599	TRUE	
mZalCal1	alternate	IGH	000081F_037_arrow	86981	467607	380626	"D,J,V"	16	9	0.5625	0.103096779	0.5542449	TRUE	
mZalCal1	primary	IGH	SUPER_6	89196	407228	318032	"D,J,V"	10	5	0.5	0.000602838	0.002752283	TRUE	
UrsArc2	primary	IGK	NW_026623100.1	48938844	49118848	180004	"J,V"	17	16	0.941176471	0.571585445	0.573687817	TRUE	
mBalAcu1	primary	IGK	SUPER_12	13381300	13554507	173207	"J,V"	6	5	0.833333333	0.141683767	0.143517716	TRUE	
mCamDro1	primary	IGK	SUPER_33	13756873	13869517	112644	"J,V"	11	9	0.818181818	0.67525073	0.680779817	TRUE	
mCamDro1	alternate	IGK	SUPER_33	15883098	15995757	112659	"J,V"	11	9	0.818181818	0.722308335	0.727431676	TRUE	
mCanLor1	alternate	IGK	atg002311l_1	189799	426878	237079	V	16	14	0.875	0.427069317	0.960524007	TRUE	
mCanLor1	primary	IGK	SUPER_17	26629278	26937830	308552	"J,V"	19	17	0.894736842	0.40374208	0.408420217	TRUE	
mChiNiv1	primary	IGK	SUPER_1	80421617	83119183	2697566	"J,V"	70	62	0.885714286	0.390589706	0.403691177	TRUE	manually merged
mCynVol1	primary	IGK	SUPER_14	83741590	85265685	1524095	"J,V"	78	48	0.615384615	0.814889613	0.829720585	TRUE	
mDasNov1	primary	IGK	SUPER_17	79024663	90626985	11602322	"J,V"	89	77	0.865168539	0.843398695	0.967225648	TRUE	manually merged
mDasNov1	alternate	IGK	SUPER_17	81665339	98102835	16437496	"J,V"	109	94	0.862385321	0.801219735	0.962488228	TRUE	manually merged
mDipMer1	alternate	IGK	JANKKK010000108.1	1407728	3898301	2490573	"J,V"	84	62	0.738095238	0.361113213	1	TRUE	"manually selected, but likely broken"
mDipMer1	alternate	IGK	JANKKK010000121.1	31250	3413202	3381952	"J,V"	102	67	0.656862745	0.009144068	0.99873768	TRUE	"manually selected, but likely broken"
mDipMer1	primary	IGK	JANKKJ010000036.1	10732800	15293534	4560734	"J,V"	130	88	0.676923077	0.698190539	0.994875591	TRUE	"manually selected, but likely broken"
mDipMer1	primary	IGK	JANKKJ010000136.1	1860435	3380701	1520266	"J,V"	54	38	0.703703704	0.536982673	0.975781394	TRUE	"manually selected, but likely broken"
mDipMer1	primary	IGK	JANKKJ010000204.1	3572	2201322	2197750	"J,V"	72	50	0.694444444	0.001622661	1	TRUE	"manually selected, but likely broken"
mEleMax1	primary	IGK	SUPER_17	42792704	46709267	3916563	"J,V"	121	79	0.652892562	0.467667906	0.510470782	TRUE	
mEriEur2	primary	IGK	SUPER_3	66683347	66864075	180728	"J,V"	7	6	0.857142857	0.359097412	0.360070653	TRUE	
mHetBru1	primary	IGK	SUPER_23	55865531	57450865	1585334	"J,V"	65	62	0.953846154	0.748024596	0.769251796	TRUE	
mHipAmp2	primary	IGK	JASFZM010000005.1	77623709	77883167	259458	"J,V"	18	13	0.722222222	0.537911262	0.539709235	TRUE	
mHipAmp2	alternate	IGK	NC_080192.1	71340125	71626887	286762	"J,V"	19	14	0.736842105	0.478092697	0.48001446	TRUE	
mLemCat1	alternate	IGK	h2tg000086l	644029	775545	131516	"J,V"	13	11	0.846153846	0.122935577	0.148040029	TRUE	
mLemCat1	primary	IGK	SUPER_4	68098825	68230269	131444	"J,V"	14	11	0.785714286	0.579816503	0.580935662	TRUE	
mLutLut1	primary	IGK	HiC_scaffold_4_arrow_ctg1	38319182	39032017	712835	"J,V"	54	37	0.685185185	0.265947591	0.270894898	TRUE	
mLynCan4	alternate	IGK	000003F_032_arrow_arrow	0	98212	98212	V	11	8	0.727272727	0	0.840863364	TRUE	
mLynCan4	primary	IGK	Super_Scaffold_9	101546044	101695929	149885	"J,V"	13	10	0.769230769	0.726204647	0.727276547	TRUE	
mLynRuf1	primary	IGK	NW_025814896.1	102344394	102493588	149194	"J,V"	13	10	0.769230769	0.732804988	0.733873245	TRUE	
mMacEug1	primary	IGK	SUPER_1	718315348	723116507	4801159	V	18	12	0.666666667	0.942391751	0.948690618	TRUE	manually merged
mManPen7	primary	IGK	SUPER_2	158625200	161387211	2762011	"J,V"	41	39	0.951219512	0.670852025	0.682533023	TRUE	manually merged
mManPen7	alternate	IGK	scaffold_1	74247273	77995724	3748451	"J,V"	54	50	0.925925926	0.315409997	0.3313338	TRUE	manually merged
mMarMar1	primary	IGK	SUPER_9	100969115	101734119	765004	"J,V"	64	45	0.703125	0.724940944	0.730433542	TRUE	
mMelMel3	primary	IGK	CAKLPQ010000015.1	37968050	38699572	731522	"J,V"	58	36	0.620689655	0.504667417	0.514390732	TRUE	
mMelMel3	alternate	IGK	SUPER_15	37940993	38672515	731522	"J,V"	58	36	0.620689655	0.446447379	0.455055116	TRUE	
mMicCal1	primary	IGK	JAQJZF010000001.1	116409015	118508907	2099892	"J,V"	56	49	0.875	0.594030744	0.604746413	TRUE	
mMicCal1	alternate	IGK	JAQJZG010000001.1	116547748	118291175	1743427	"J,V"	45	40	0.888888889	0.596472804	0.605395385	TRUE	
mMirAng1	primary	IGK	JARDRN010000010.1	37467919	37623198	155279	"J,V"	10	6	0.6	0.270241237	0.271361203	TRUE	
mMirAng1	alternate	IGK	JARDRO010000010.1	100979933	101134967	155034	"J,V"	10	6	0.6	0.72854389	0.72966242	TRUE	
mMusAve1	primary	IGK	SUPER_15	86611485	86819279	207794	"J,V"	27	25	0.925925926	0.953418642	0.955706037	TRUE	
mMusLut2	primary	IGK	SUPER_9	107288207	108052035	763828	"J,V"	63	54	0.857142857	0.733486599	0.738708585	TRUE	
mMusNiv1	primary	IGK	scaffold_1	227899986	228871974	971988	"J,V"	72	60	0.833333333	0.855053578	0.858700362	TRUE	
mMusNiv1	alternate	IGK	scaffold_7	37783990	38752790	968800	"J,V"	72	59	0.819444444	0.264356863	0.271135102	TRUE	
mNeoNeb1	alternate	IGK	hap_ptg000832l_1_1	1060678	1212778	152100	"J,V"	11	9	0.818181818	0.862293568	0.98594547	TRUE	
mNeoNeb1	primary	IGK	SUPER_9	38646684	38798797	152113	"J,V"	11	10	0.909090909	0.272517918	0.273590546	TRUE	
mNycCou1	alternate	IGK	hap_ptg000297l_1_1	74364	757284	682920	"J,V"	21	19	0.904761905	0.054235953	0.55231052	TRUE	
mNycCou1	primary	IGK	SUPER_4	86410712	87114645	703933	"J,V"	20	16	0.8	0.581738481	0.586477533	TRUE	
mOrcOrc1	primary	IGK	SUPER_13	12455568	12521159	65591	"J,V"	2	1	0.5	0.136070324	0.13678687	TRUE	
mPerMan1	alternate	IGK	JAOPKX010000009.1	62784845	67039835	4254990	"J,V"	191	176	0.921465969	0.844463768	0.901693899	TRUE	
mPhoSin1	primary	IGK	scaffold_11_arrow_ctg1	78045272	78148820	103548	"J,V"	4	3	0.75	0.863331117	0.864476558	TRUE	
mPumCon1	primary	IGK	CM060206.1	102090800	102242475	151675	"J,V"	12	9	0.75	0.724042265	0.725117966	TRUE	
mPumCon1	alternate	IGK	CM060226.1	38744620	38896784	152164	"J,V"	13	9	0.692307692	0.274015364	0.275091521	TRUE	
mSorAra2	alternate	IGK	hap_ptg001131l_1_1	919871	1404014	484143	"J,V"	35	30	0.857142857	0.653873357	0.998017491	TRUE	
mSorAra2	primary	IGK	SUPER_X	305998393	307905556	1907163	"J,V"	44	33	0.75	0.817380202	0.822474599	TRUE	manually merged
mThoBot1	alternate	IGK	JANJXW010000010.1	2139124	6335658	4196534	"J,V"	261	141	0.540229885	0.031023597	0.091885697	TRUE	"manually selected: main, broken at the end"
mThoBot1	primary	IGK	JANJXV010000007.1	1055624	3860573	2804949	"J,V"	179	91	0.508379888	0.016035497	0.058644185	TRUE	"manually selected: main, broken at the end"
mUrsAme1	primary	IGK	JANIGQ010000014.1	31670532	31860917	190385	"J,V"	18	17	0.944444444	0.463236294	0.466021004	TRUE	
mZalCal1	alternate	IGK	000000F_197_arrow	310998	449604	138606	"J,V"	7	5	0.714285714	0.137284019	0.198468942	TRUE	
mZalCal1	primary	IGK	SUPER_8	38523122	38661988	138866	"J,V"	7	5	0.714285714	0.274030352	0.275018162	TRUE	
UrsArc2	primary	IGL	NW_026623030.1	437708	1586595	1148887	"J,V"	87	47	0.540229885	0.01397291	0.050648718	TRUE	manually selected: likely haplotype 1
mBalAcu1	alternate	IGL	atg005705l_1	79637	293002	213365	V	19	16	0.842105263	0.238042858	0.875811914	TRUE	
mBalAcu1	primary	IGL	SUPER_13	68089086	68302039	212953	V	20	18	0.9	0.723949478	0.726213677	TRUE	
mCamDro1	primary	IGL	SUPER_31	3641357	4066266	424909	V	65	45	0.692307692	0.14471237	0.161598819	TRUE	
mCamDro1	alternate	IGL	SUPER_31	2289453	2662330	372877	V	55	38	0.690909091	0.097078107	0.112888955	TRUE	
mCanLor1	primary	IGL	SUPER_26	7758005	12468269	4710264	"J,V"	303	162	0.534653465	0.168252551	0.270406898	TRUE	manually selected
mChiNiv1	alternate	IGL	atg000166l_1	787940	1457232	669292	"J,V"	14	8	0.571428571	0.406034712	0.750928721	TRUE	
mChiNiv1	primary	IGL	SUPER_3	74550800	74866547	315747	"J,V"	2	2	1	0.584210506	0.586684828	TRUE	
mCorTow1	primary	IGL	JAPDVT010000014.1	2301409	3127458	826049	"J,V"	156	116	0.743589744	0.074898764	0.101782316	TRUE	
mCorTow1	alternate	IGL	JAPDVU010000014.1	27090608	28117564	1026956	V	198	127	0.641414141	0.894301867	0.928203235	TRUE	
mCynVol1	primary	IGL	SUPER_2	205581490	207066377	1484887	"J,V"	43	29	0.674418605	0.874879067	0.881198199	TRUE	
